machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC01,VCB-NPB2F,DCP-133Z集合,1199487-20,Y8470696RA,2025-11-19,6000.0,0,GC17,"{datetime.datetime(2025, 11, 18, 0, 0): 6000}",20
GC01,VCB-MB551,DCP,1199489-10,Y8469650R,2025-11-28,1000.0,0,GC17,"{datetime.datetime(2025, 11, 28, 0, 0): 1000}",20
GC01,VCB-MB551,DCP,1199489-20,Y8469650R,2025-11-28,1000.0,0,GC17,"{datetime.datetime(2025, 11, 28, 0, 0): 1000}",20
GC01,VCB-H701,PS-977Z集合,-10,Y8470831R,2025-12-02,480.0,0,GT15,"{datetime.datetime(2025, 12, 5, 0, 0): 480}",10
GC01,VCB-H701,PS-977Z集合,-20,Y8470831R,2025-12-02,480.0,0,GT15,"{datetime.datetime(2025, 12, 5, 0, 0): 480}",10
GC01,VCB-N5B2B,DCP-58集合,1199441-10,Y8470344R,2025-11-07,,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 2400}",20
GC01,VCB-N5B2B,DCP-81Z集合,1199441-20,Y8470250R,2025-11-07,2400.0,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 2400}",20
GC01,VCB-NPB2F,DCP-81Z集合,1198843-10,Y8470346R,2025-10-29,,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 6000}",20
GC01,VCB-NPB2F,DCP-133Z集合,1198843-20,Y8470696RA,2025-10-29,6000.0,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 6000}",20
GC01,VCB-NPB2F,DCP-133Z集合,1199301-10,Y8470696RA,2025-11-06,6000.0,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 40}",20
GC01,VCB-NPB2F,DCP-133Z集合,1199301-20,Y8470696RA,2025-11-06,40.0,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 40}",20
GC01,VCB-NPB2F,DCP-133Z集合,1199429-10,Y8470696RA,2025-11-06,40.0,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 3000}",20
GC01,VCB-NPB2F,DCP-133Z集合,1199429-20,Y8470696RA,2025-11-06,3000.0,0,GC17,"{datetime.datetime(2025, 11, 16, 0, 0): 3000}",20
